Teks_Asli,Cleaned_Message,Label_Validasi
Besok siang saya ke toko lgi bg soal ny seklian ke kampus,besok siang saya ke toko lgi bg soal ny seklian ke kampus,lainnya
Bg udh bise ke atau mash loading,bg udh bise ke atau mash loading,lainnya
"Kire"" msh lma ke bg",kire msh lma ke bg,lainnya
Klo udh ke baca info ye bg,klo udh ke baca info ye bg,lainnya
Klo di drive kn bisa ndk bg,klo di drive kn bisa ndk bg,lainnya
Ad solusi lain ndk bg,ad solusi lain ndk bg,lainnya
Jdi file ny bakalan hilang ya bg atau gmn,jdi file ny bakalan hilang ya bg atau gmn,lainnya
Klo ssd yg bermasalah itu mau di ganti ap gmn bg,klo ssd yg bermasalah itu mau di ganti ap gmn bg,setuju
"Yaudh bg saya jg ngejar mo pulkam jdi laptop ny saya bawa dlu ya bg untuk biaya cek ny brp kira"" bg",yaudh bg saya jg ngejar mo pulkam jdi laptop ny saya bawa dlu ya bg untuk biaya cek ny brp kira bg,lainnya
Oke bg nanti laptop ny saya ambil ke toko,oke bg nanti laptop ny saya ambil ke toko,setuju
"Oke bang, nanti saya ambil ya",oke bang nanti saya ambil ya,setuju
Bang udah di bayar abang saya ya,bang udah di bayar abang saya ya,lainnya
Agak sorean ya bang saya ambilnya,agak sorean ya bang saya ambilnya,lainnya
Oke,oke,setuju
Kabel Fleksibel Acer Aspire 4752G...,kabel fleksibel acer aspire g,lainnya
"Bang, saya mau upgrade Wi-Fi card laptop ASUS TUF FX505DD ke Intel Wi-Fi 6 AX200
Mau ganti Qualcomm Atheros QCA9377 ke Intel AX200 NGW M.2 2230.",bang saya mau upgrade wifi card laptop asus tuf fxdd ke intel wifi ax mau ganti qualcomm atheros qca ke intel ax ngw m,setuju
kena brp bg biaya ny,kena brp bg biaya ny,lainnya
sama bersihin kipas dn ganti thermal paste,sama bersihin kipas dn ganti thermal paste,setuju
oke bang,oke bang,setuju
bsk ijin sy wa ulang ya bg,bsk ijin sy wa ulang ya bg,lainnya
gimana bg? udh ada jawaban kh dri teknisi nya,gimana bg udh ada jawaban kh dri teknisi nya,lainnya
gmn maksud ny tu bg?,gmn maksud ny tu bg,lainnya
wifi card ny?,wifi card ny,lainnya
ganti thermal paste dn bersihin kipas brp bg,ganti thermal paste dn bersihin kipas brp bg,setuju
oke bg,oke bg,setuju
Pengecas nya aman kah bg?,pengecas nya aman kah bg,setuju
"Boleh bg, ganti aja bg",boleh bg ganti aja bg,setuju
Oke bg,oke bg,setuju
"Wa'alaikum salam wr.wb
Okee bg. Saya infokan kalau mau ambil bg",waalaikum salam wrwb okee bg saya infokan kalau mau ambil bg,setuju
"Okee, aman ya bg. Batrai aja berarti",okee aman ya bg batrai aja berarti,setuju
ohh oke bang untuk harga berapa ya bang,ohh oke bang untuk harga berapa ya bang,setuju
ok bang nnti malam bisa saya ambil ga sekitar jam setengah 9,ok bang nnti malam bisa saya ambil ga sekitar jam setengah,lainnya
untuk pembayaran bisa pakai tf ga bang,untuk pembayaran bisa pakai tf ga bang,lainnya
ok bang,ok bang,lainnya
Oke,oke,setuju
Iyaaa bang nantik saya ambil ya,iyaaa bang nantik saya ambil ya,lainnya
Besok Jak bah boleh dk saye ambilnya,besok jak bah boleh dk saye ambilnya,setuju
"Selamat pagi, baik bang terima kasih, apakah laptopnya sudah bisa diambil hari ini?",selamat pagi baik bang terima kasih apakah laptopnya sudah bisa diambil hari ini,lainnya
Mau bang,mau bang,lainnya
"Oke bang, terima kasih",oke bang terima kasih,setuju
"Malam bang, apakah laptopnya sudah selesai dikerjakan dan dapat diambil?",malam bang apakah laptopnya sudah selesai dikerjakan dan dapat diambil,setuju
"Malam bang, tadi lupa nanya.. untuk selanjutnya agar baterainya tahan lama dan nda rusak lagi gimana ya pemeliharannya?",malam bang tadi lupa nanya untuk selanjutnya agar baterainya tahan lama dan nda rusak lagi gimana ya pemeliharannya,setuju
"Oalaa, berarti jangan biarkan cas bermalam gitu ya",oalaa berarti jangan biarkan cas bermalam gitu ya,lainnya
Kalau dipakai sambil dicas gimana bang?,kalau dipakai sambil dicas gimana bang,lainnya
"Ohh oke bang, terima kasih!",ohh oke bang terima kasih,setuju
"Pagi bang, ini kenapa laptopnya aneh ya? Setiap saya mau ngetik, malah nda bisa",pagi bang ini kenapa laptopnya aneh ya setiap saya mau ngetik malah nda bisa,lainnya
Laptopnya baru saya coba pakai pagi ini,laptopnya baru saya coba pakai pagi ini,lainnya
Sepertinya semua bang,sepertinya semua bang,lainnya
"Dia tu kek nda sesuai gitu, kita pencet apa munculnya apa, misal saya pencet huruf o dia langsung arahkan ke folder, trus pencet huruf lain, langsung new tab, pencet huruf lain lagi malah ke profil google, kek aneh gitu",dia tu kek nda sesuai gitu kita pencet apa munculnya apa misal saya pencet huruf o dia langsung arahkan ke folder trus pencet huruf lain langsung new tab pencet huruf lain lagi malah ke profil google kek aneh gitu,lainnya
Kenapa bisa begitu ya bang? Sebelumnya masi normal,kenapa bisa begitu ya bang sebelumnya masi normal,lainnya
"Iya bang, untuk sekarang emang baterai nya aman, keyboard nya ja ni, kemarin pun nda ada cek2 lain kan ya selain baterai",iya bang untuk sekarang emang baterai nya aman keyboard nya ja ni kemarin pun nda ada cek lain kan ya selain baterai,setuju
"Nah itu, saya pun bingung bang kenapa malah keyboard nya jadi bermasalah, padahal sebelumnya nda pernah ada masalah",nah itu saya pun bingung bang kenapa malah keyboard nya jadi bermasalah padahal sebelumnya nda pernah ada masalah,lainnya
"Oke bang, siang ini saya bawa ke toko",oke bang siang ini saya bawa ke toko,setuju
Sudah bisa bang,sudah bisa bang,lainnya
Nda ade saye ape2 kan padahal,nda ade saye ape kan padahal,lainnya
Tibe2 bise die,tibe bise die,lainnya
Terima kasih bang 🙏🏻,terima kasih bang,lainnya
Itulah,itulah,lainnya
Semoge jak aman terus setelah ini,semoge jak aman terus setelah ini,setuju
Bng ngpe gni ye kmren kan bru d betulkan d stu,bng ngpe gni ye kmren kan bru d betulkan d stu,lainnya
Iye bng,iye bng,lainnya
Ndk bng soalnye ndk ngerti lepaskan e gmne,ndk bng soalnye ndk ngerti lepaskan e gmne,lainnya
Baterai e ndk ngpe2 ke bng,baterai e ndk ngpe ke bng,lainnya
Jdi gmne bng,jdi gmne bng,lainnya
Kan tk pernah d sentoh dri abg betulkan kmren tu,kan tk pernah d sentoh dri abg betulkan kmren tu,lainnya
Kok bse ganti ganti agi bng,kok bse ganti ganti agi bng,setuju
Ok bng,ok bng,lainnya
Bsokla antar laptop ny bng blm sempat,bsokla antar laptop ny bng blm sempat,lainnya
Bng laptop ny udh saye antar ye pkai tas batik,bng laptop ny udh saye antar ye pkai tas batik,lainnya
Cman d pencet gtu jk k bng,cman d pencet gtu jk k bng,lainnya
Ok sip,ok sip,lainnya
"oke bang, nanti saya ambil sore",oke bang nanti saya ambil sore,setuju
"siap bang,nanti saya kesana,bisa transfer ga ya?",siap bangnanti saya kesanabisa transfer ga ya,lainnya
"Besok saja bisa tidak bang, saya lagi ada urusan, jadi tidak bisa malam ini mengambilnya",besok saja bisa tidak bang saya lagi ada urusan jadi tidak bisa malam ini mengambilnya,lainnya
Okee,okee,setuju
Ok otw,ok otw,lainnya
Ao nanti sore saya ambil,ao nanti sore saya ambil,lainnya
kak udh bisa diambil blm laptopnya???,kak udh bisa diambil blm laptopnya,lainnya
oke,oke,setuju
"Baik Pak, akan saya ambil ya",baik pak akan saya ambil ya,lainnya
Oke bang,oke bang,setuju
okee bang,okee bang,setuju
okee bang,okee bang,setuju
bsok buka ke bang ?,bsok buka ke bang,lainnya
diambil bsok ya bang,diambil bsok ya bang,lainnya
MLM saya ambil ya,mlm saya ambil ya,lainnya
Iya bg,iya bg,lainnya
"Okee bang, bentar lg ambil",okee bang bentar lg ambil,setuju
Gmna cra nya bg biar dia bsa wifi,gmna cra nya bg biar dia bsa wifi,lainnya
"Oke bg terimakasih
Nnti saya ambl laptop nya",oke bg terimakasih nnti saya ambl laptop nya,setuju
Jam brapa tutup,jam brapa tutup,lainnya
Ok,ok,lainnya
Ok... Masih,ok masih,lainnya
okey bang,okey bang,setuju
malam ya,malam ya,lainnya
"assalamualaikum kak, laptop saya lenovo ada-v14, 5 hari lalu ketumpahan air disekitar keyboard esc, 1, 2 3 sampai tombol power. hari ini muncul garis garis di bawah, kira kira ini ganti lcd berapa ya kak?",assalamualaikum kak laptop saya lenovo adav hari lalu ketumpahan air disekitar keyboard esc sampai tombol power hari ini muncul garis garis di bawah kira kira ini ganti lcd berapa ya kak,setuju
"keyboard aman sih kak, masih work semua
itu lcdnya IPS atau bukan kak?",keyboard aman sih kak masih work semua itu lcdnya ips atau bukan kak,setuju
Oke bang,oke bang,setuju
Hari minggu buka ga tempat nya?,hari minggu buka ga tempat nya,lainnya
Oke,oke,setuju
Bayarnya bisa qris ga?,bayarnya bisa qris ga,lainnya
"Okee,sebentr lagi saya ambil ya",okeesebentr lagi saya ambil ya,setuju
"Bg balek sye dri mall jk ye sye ambek nye,mau buat tugas lain dlu soal nya",bg balek sye dri mall jk ye sye ambek nyemau buat tugas lain dlu soal nya,setuju
"Waalaikumsalam Balik dari kuliah bisa kah saya ambil ,di jam 12 atau 1an gitu lah",waalaikumsalam balik dari kuliah bisa kah saya ambil di jam atau an gitu lah,lainnya
Klo isi pes msh smpat ga bg?,klo isi pes msh smpat ga bg,lainnya
Ok,ok,lainnya
Btr lg sy turun,btr lg sy turun,lainnya
baik bg nnti saya ambil,baik bg nnti saya ambil,lainnya
